,P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),S. Name,S. Constellation,S. Type,P. Disc. Method,P. Disc. Year
0,1RXS 1609 b,1.0,1.0,1.0,2.0,1,4.08E-06,4.08E-06,4.08E-06,1RXS 1609,Sco,K7V,Imaging,2008
1,1SWASP J1407 b,1.0,1.0,1.0,2.0,1,0.02166914,0.02166914,0.02166914,1SWASP J1407,Cen,K,Primary Transit,2012
2,2M 0103-55(AB) b,1.0,1.0,1.0,2.0,1,3.96E-06,3.96E-06,3.96E-06,2M 0103-55(AB),Phe,M,Imaging,2013
3,2M 0122-24 b,1.0,1.0,1.0,2.0,1,1.03E-05,1.03E-05,1.03E-05,2M 0122-24,Cet,M3.5,Imaging,2013
4,2M 0219-39 b,1.0,1.0,1.0,2.0,1,2.37E-07,2.37E-07,2.37E-07,2M 0219-39,For,M6,Imaging,2015
5,2M 0441+23 b,1.0,1.0,1.0,2.0,1,1.26E-07,1.26E-07,1.26E-07,2M 0441+23,Tau,M8.5,Imaging,2010
6,2M 0746+20 b,1.0,1.0,1.0,2.0,1,9.06E-06,2.29E-05,7.61E-05,2M 0746+20,Gem,,Imaging,2010
7,2M 1207-39 b,1.0,1.0,1.0,2.0,1,2.74E-08,2.74E-08,2.74E-08,2M 1207-39,Cen,M8,Imaging,2004
8,2M 1938+46 b,1.0,1.0,1.0,2.0,1,0.1531191,0.1531191,0.1531191,2M 1938+46,Cyg,sdB+M,Pulsar,2015
9,2M 2140+16 b,1.0,1.0,1.0,2.0,1,1.27E-05,2.09E-05,3.68E-05,2M 2140+16,Peg,,Imaging,2010
10,2M 2206-20 b,1.0,1.0,1.0,2.0,1,1.65E-05,1.65E-05,1.65E-05,2M 2206-20,Aqr,,Imaging,2010
11,2M 2236+4751 b,1.0,1.0,1.0,2.0,1,7.43E-07,7.43E-07,7.43E-07,2M 2236+4751,Lac,K7,Imaging,2016
12,2MASS J1450-7841 Ab,1.0,1.0,1.0,2.0,1,1.56E-09,1.56E-09,1.56E-09,2MASS J1450-7841 Ab,Aps,M9p,Imaging,2017
13,2MASS J1450-7841 Bb,1.0,1.0,1.0,2.0,1,1.56E-09,1.56E-09,1.56E-09,2MASS J1450-7841 Bb,Aps,M8p,Imaging,2017
14,2MASS J2250+2325 b,,1.0,1.0,,1,             ,             ,             ,2MASS J2250+2325,Peg,M3,Imaging,2017
15,2MASS J11193254 AB b,,1.0,1.0,,1,             ,             ,             ,2MASS J11193254 AB,Crt,L7,Imaging,2017
